Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,22,15,1,2,CC 82-28,S22,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.05555556,,,,,123.4,4.05,,,,23,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,174,143,1,15,CC 83-01,S23,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.77777778,,,,,152.6,4.43,,,,175,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,69,34,1,6,CC 83-08,S24,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,15.5,,,,,153.2222222,4.02,,,,70,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,59,202,1,5,CC 83-25,S25,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.94444444,,,,,157,6.15,,,,60,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,168,137,1,14,CC 84-56,S26,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.33333333,,,,,138.1,4.6,,,,169,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,8,45,1,1,CC 84-59,S27,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.55555556,,,,,143.3,4.06,,,,8,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,248,117,1,21,CC 84-75,S28,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.88888889,,,,,147.7,4.21,,,,249,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,10,221,1,1,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,12,,,,,151.6,5.92,,,,10,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,16,221,1,2,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.05555556,,,,,151.6,5.16,,,,16,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,33,221,1,3,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,12.55555556,,,,,147.8,5.46,,,,34,4,AIBD,
