Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
407,Balsora,47.96789774,6.596756717,45.43534554,15.62359092,11.97640908,8.938019553,S103,2,94,Balsora_1
408,Balsora,35.33988619,8.006207967,56.65390585,12.79335734,15.50664266,13.53806922,S198,2,94,Balsora_1
409,Balsora,39.98227316,8.71294884,51.304778,11.66768696,16.43231304,14.51722974,S162,2,94,Balsora_1
410,Balsora,50.66252728,9.102157432,40.23531529,12.65205339,15.54794661,13.28265366,S17,2,95,Balsora_1
411,Balsora,34.9062702,9.688350865,55.40537893,14.59682391,17.60317609,16.34167617,S191,2,95,Balsora_1
412,Balsora,43.83561644,15.06849315,41.09589041,13.35002251,14.54997749,12.28593318,S107,2,95,Balsora_1
413,Balsora,36.77090919,17.48724576,45.74184505,18.12822726,14.37177274,11.85804566,S80,2,95,Balsora_1
414,Balsora,45.50898204,12.5748503,41.91616766,15.91712461,16.38287539,14.68325954,S177,2,96,Balsora_1
415,Balsora,27.32384543,11.11740732,61.55874725,13.88664629,16.21335371,14.31956791,S173,2,96,Balsora_1
416,Balsora,32.98647027,12.81186644,54.20166329,13.65410161,17.84589839,16.51301654,S50,2,96,Balsora_1
417,Balsora,29.15919261,8.13995204,62.70085535,12.51994463,16.78005537,15.14422948,S211,2,96,Balsora_1
418,Balsora,42.34930448,18.08346213,39.56723338,13.00808878,14.59191122,12.44181394,S177,2,97,Balsora_1
419,Balsora,42.87774973,7.029841327,50.09240894,12.60399085,15.59600915,13.74631094,S24,2,97,Balsora_1
420,Balsora,47.08155762,5.527701178,47.3907412,10.41552384,7.484476161,3.203551917,S138,2,97,Balsora_1
421,Balsora,52.76560167,12.50403105,34.73036727,22.70356851,11.79643149,9.192554705,S139,2,97,Balsora_1
422,Balsora,49.66035685,12.69812517,37.64151798,14.96019165,11.23980835,8.509283594,S6,2,97,Balsora_1
423,Balsora,45.11400992,8.153437049,46.73255303,12.60873494,14.79126506,12.40171773,S143,2,98,Balsora_1
424,Balsora,41.63564397,4.114124277,54.25023175,19.92854646,13.57145354,11.42705972,S42,2,98,Balsora_1
425,Balsora,25.70158759,12.1234336,62.17497881,11.60087099,16.49912901,14.62295263,S18,2,98,Balsora_1
426,Balsora,33.36531011,11.21462569,55.4200642,14.26780471,14.33219529,12.09358513,S119,2,98,Balsora_1
427,Balsora,54.3998689,12.38486735,33.21526375,14.88926654,14.51073346,12.20597916,S153,2,99,Balsora_1
428,Balsora,,,,13.2004286,16.5995714,14.89884435,S158,2,99,Balsora_1
429,Balsora,35.53371141,9.033396345,55.43289225,11.43962107,14.36037893,12.12160955,S188,2,99,Balsora_1
430,Balsora,52.95740635,5.603741781,41.43885187,16.82283544,15.67716456,13.71190233,S91,2,99,Balsora_1
431,Balsora,42.54330642,8.295492768,49.16120081,12.77248308,16.62751692,15.13874416,S64,2,100,Balsora_1
432,Balsora,23.02202082,5.008850811,71.96912837,12.70305904,16.49694096,14.60773079,S85,2,100,Balsora_1
433,Balsora,50.68908425,6.065340578,43.24557517,11.3528856,15.7471144,13.54741083,S37,2,100,Balsora_1
434,Balsora,40.88537283,11.61726676,47.49736041,16.4966168,14.2033832,11.72632698,S147,2,100,Balsora_1
435,Balsora,40.81994301,8.84599727,50.33405972,12.1225732,16.5774268,14.95406088,S182,2,100,Balsora_1
436,Balsora,,,,,,,S31,2,101,Balsora_1
437,Balsora,51.44915361,7.197462931,41.35338346,16.04879384,16.45120616,14.71349158,S92,2,101,Balsora_1
438,Balsora,49.24880428,7.009284442,43.74191128,16.18470846,15.91529154,13.776173,S97,2,101,Balsora_1
439,Balsora,34.72409711,10.89489315,54.38100974,12.91067088,17.28932912,15.92439504,S150,2,101,Balsora_1
440,Balsora,35.14238163,12.22591165,52.63170672,7.304033538,16.89596646,15.09402938,S14,2,102,Balsora_1
441,Balsora,28.2208589,22.39263804,49.38650307,13.23968523,15.76031477,14.1278485,S72,2,102,Balsora_1
