Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
149,Balsora,30.68172618,7.578333738,61.73994009,13.52039627,15.67960373,13.69651867,S45,1,35,Balsora_1
150,Balsora,36.1043591,12.79978934,51.09585156,7.691351349,17.30864865,15.45618746,S122,1,35,Balsora_1
151,Balsora,41.51430551,11.05396839,47.43172611,12.46305225,17.93694775,16.59240846,S64,1,35,Balsora_1
152,Balsora,39.8611475,12.32206794,47.81678456,9.25051201,17.44948799,15.64628861,S116,1,35,Balsora_1
153,Balsora,40.34989329,9.063575891,50.58653082,17.35541515,12.94458485,10.37303828,S6,1,36,Balsora_1
154,Balsora,35.9653077,14.0536252,49.98106709,13.00044318,14.39955682,12.11502744,S7,1,36,Balsora_1
155,Balsora,56.41384557,8.016736402,35.56941803,13.87178005,15.72821995,13.79675911,S166,1,36,Balsora_1
156,Balsora,,,,10.53009973,16.16990027,14.29150376,S98,1,36,Balsora_1
157,Balsora,40.51199786,10.64768398,48.84031816,11.06108062,16.73891938,15.03897961,S193,1,37,Balsora_1
158,Balsora,47.09266979,1.463435817,51.44389439,12.39371707,16.80628293,15.08642217,S177,1,37,Balsora_1
159,Balsora,43.27864438,3.496759054,53.22459656,13.65898005,14.24101995,11.98327992,S89,1,37,Balsora_1
160,Balsora,50.13112076,8.424687961,41.44419128,20.02641629,12.47358371,9.797526385,S139,1,37,Balsora_1
161,Balsora,47.8374466,3.7284186,48.4341348,14.52327114,17.07672886,15.58964765,S191,1,37,Balsora_1
162,Balsora,38.58987378,3.825827444,57.58429877,11.4374303,17.5625697,15.87064628,S94,1,38,Balsora_1
163,Balsora,34.85261564,9.406967261,55.7404171,10.60417107,17.99582893,16.44217725,S182,1,38,Balsora_1
164,Balsora,25.08210371,18.02349785,56.89439845,11.744044,16.755956,15.15174603,S72,1,38,Balsora_1
165,Balsora,,,,14.46290228,13.93709772,11.40717055,S103,1,38,Balsora_1
166,Balsora,42.34590222,5.390393469,52.26370431,12.96154284,16.93845716,15.35845837,S115,1,39,Balsora_1
167,Balsora,32.25973163,9.162221525,58.57804684,11.5990096,16.3009904,14.46376041,S114,1,39,Balsora_1
168,Balsora,34.68066411,2.340100819,62.97923507,10.78743382,15.71256618,13.45694473,S173,1,39,Balsora_1
169,Balsora,34.12574367,9.947564788,55.92669154,8.664172638,15.93582736,13.79650984,S113,1,39,Balsora_1
170,Balsora,32.57488831,6.374356095,61.0507556,11.51996691,15.78003309,13.66083691,S144,1,40,Balsora_1
171,Balsora,46.22662762,2.663888263,51.10948412,12.47935304,18.52064696,17.24624984,S29,1,40,Balsora_1
172,Balsora,38.7347561,12.8601372,48.40510671,12.93472824,16.06527176,13.94120141,S8,1,40,Balsora_1
173,Balsora,29.15996877,13.11716346,57.72286777,11.53246432,18.36753568,17.14576235,S71,1,40,Balsora_1
174,Balsora,35.64910215,6.818233283,57.53266457,9.009187215,16.39081279,14.36047094,S134,1,40,Balsora_1
175,Balsora,36.52889867,14.91603489,48.55506644,11.81269081,16.08730919,14.24985036,S130,1,41,Balsora_1
176,Balsora,36.04512781,6.783453135,57.17141905,9.367160237,18.63283976,17.07760143,S74,1,41,Balsora_1
177,Balsora,31.86388446,7.620589695,60.51552584,9.176364303,17.4236357,15.53636503,S163,1,41,Balsora_1
178,Balsora,31.44742925,5.632030407,62.92054035,9.512233887,16.78776611,14.88523502,S27,1,41,Balsora_1
179,Balsora,36.78443463,6.132822265,57.0827431,12.34947586,17.65052414,16.05636455,S16,1,42,Balsora_1
180,Balsora,44.20145792,13.27894701,42.51959507,12.19093305,16.80906695,15.00905224,S52,1,42,Balsora_1
181,Balsora,27.16609612,15.65958124,57.17432264,10.61550671,14.28449329,11.93166015,S40,1,42,Balsora_1
182,Balsora,39.23439868,5.478340699,55.28726062,11.93101288,17.76898712,16.2617932,S136,1,42,Balsora_1
183,Balsora,39.44594816,11.57726378,48.97678806,12.17196764,17.72803236,15.99643893,S64,1,43,Balsora_1
184,Balsora,34.80355819,11.39501483,53.80142698,12.10408768,18.39591232,16.87563103,S190,1,43,Balsora_1
185,Balsora,27.71095637,4.670464936,67.6185787,9.96423201,18.13576799,16.50556707,S33,1,43,Balsora_1
186,Balsora,41.62318995,1.453364566,56.92344549,10.18185108,17.21814892,15.26275319,S35,1,43,Balsora_1
187,Balsora,34.75296961,6.180889629,59.06614076,12.59253627,17.10746373,15.23401606,S18,1,43,Balsora_1
188,Balsora,,,,11.56235364,17.43764636,15.71469287,S76,1,44,Balsora_1
189,Balsora,35.4732896,5.862007408,58.66470299,12.96868856,16.23131144,14.26542945,S112,1,44,Balsora_1
190,Balsora,36.9667881,5.135025733,57.89818616,13.8649922,15.0350078,12.98455835,S196,1,44,Balsora_1
191,Balsora,28.43291622,9.155133836,62.41194995,10.69177472,15.50822528,13.41538948,S84,1,44,Balsora_1
192,Balsora,45.4642894,5.023188705,49.5125219,10.88791397,17.61208603,15.95732457,S199,1,45,Balsora_1
193,Balsora,42.0100259,4.306665921,53.68330818,12.87695987,15.52304013,13.33616867,S79,1,45,Balsora_1
194,Balsora,30.11503438,9.349961094,60.53500452,13.56093184,16.23906816,14.26077894,S210,1,45,Balsora_1
195,Balsora,37.71202301,6.128720868,56.15925612,10.53086293,16.56913707,14.53711876,S174,1,45,Balsora_1
196,Balsora,39.13260842,10.37162021,50.49577136,12.54529411,15.45470589,13.41799229,S29,1,46,Balsora_1
197,Balsora,42.99623176,3.374203791,53.62956445,13.37188103,18.32811897,16.85432392,S157,1,46,Balsora_1
198,Balsora,35.57444146,6.241038609,58.18451993,8.719094574,13.58090543,10.63803981,S208,1,46,Balsora_1
199,Balsora,44.27963219,1.877952526,53.84241529,12.59208171,16.70791829,14.84264163,S118,1,46,Balsora_1
200,Balsora,50.36689633,4.137958291,45.49514538,17.28302003,9.816979973,6.470483275,S111,1,46,Balsora_1
201,Balsora,34.12949501,7.102663801,58.76784119,11.7185679,17.2814321,15.43411342,S198,1,47,Balsora_1
202,Balsora,41.72086499,11.69226285,46.58687216,13.50232237,16.19767763,14.2659533,S129,1,47,Balsora_1
203,Balsora,40.452644,8.660302478,50.88705352,11.6670653,15.7329347,13.6772026,S151,1,47,Balsora_1
204,Balsora,40.047514,2.050859373,57.90162663,8.845445262,7.954554738,3.954925391,S184,1,47,Balsora_1
205,Balsora,57.15194697,7.172293373,35.67575966,35.71133398,6.288666021,2.354372109,S1,1,48,Balsora_1
206,Balsora,34.91543016,1.69375575,63.39081409,11.02734075,15.07265925,12.7438165,S189,1,48,Balsora_1
207,Balsora,29.56584058,8.493619382,61.94054004,10.92757825,16.97242175,15.16264093,S176,1,48,Balsora_1
208,Balsora,47.77035294,3.706352941,48.52329412,13.84555211,16.25444789,14.47224834,S140,1,48,Balsora_1
209,Balsora,38.23072594,6.070906021,55.69836804,11.35343071,17.64656929,16.13933439,S64,1,49,Balsora_1
