Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Balsora,1,Balsora_1,Balsora_1_4.3,88,20,1,21,CC 00-3771,S192,42251,42667,42380,4.3,Balsora_1_4,,,13.7,102.5,,,,,,,,,2465,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,242,20,2,56,CC 00-3771,S192,42251,42667,42380,4.3,Balsora_1_4,,,14.2,101.6,,,,,,,,,2619,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,595,20,3,137,CC 00-3771,S192,42251,42667,42380,4.3,Balsora_1_4,,,9.1,69.7,,,,,,,,,2972,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,118,37,1,10,CC 00-3771,S192,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.05555556,,,,,145.3,4.133333333,,,,119,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,118,37,1,10,CC 00-3771,S192,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,12.11111111,327.4,2.97,15.6,19.7,121.4,4.17,,,,1175,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,41,21,1,10,CC 01-1228,S15,42251,42667,42380,4.3,Balsora_1_4,,,12.8,93.5,,,,,,,,,2418,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,267,21,2,62,CC 01-1228,S15,42251,42667,42380,4.3,Balsora_1_4,,,13.8,104.9,,,,,,,,,2644,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,698,21,3,161,CC 01-1228,S15,42251,42667,42380,4.3,Balsora_1_4,,,12.3,104.6,,,,,,,,,3075,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,182,201,1,16,CC 01-1228,S15,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,17.27777778,,,,,166.9,4.68,,,,183,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,182,201,1,16,CC 01-1228,S15,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,8.555555556,335.6,3.16,20.9,14.7,180.2,5.65,,,,1239,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,179,22,1,42,CC 01-1484,S16,42251,42667,42380,4.3,Balsora_1_4,,,23.3,127.5,,,,,,,,,2556,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,259,22,2,60,CC 01-1484,S16,42251,42667,42380,4.3,Balsora_1_4,,,16.4,128.5,,,,,,,,,2636,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,671,22,3,155,CC 01-1484,S16,42251,42667,42380,4.3,Balsora_1_4,,,16.6,118.1,,,,,,,,,3048,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,202,107,1,17,CC 01-1484,S16,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.88888889,,,,,163.7,4.79,,,,203,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,202,107,1,17,CC 01-1484,S16,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,9.277777778,244.6,3.04,21.3,11.7,147,5.97,,,,1259,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,123,23,1,29,CC 01-1567,S17,42251,42667,42380,4.3,Balsora_1_4,,,7.9,59.5,,,,,,,,,2500,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,410,23,2,95,CC 01-1567,S17,42251,42667,42380,4.3,Balsora_1_4,,,7.9,49.2,,,,,,,,,2787,4,Latice,
